set,learning_rate,epoch,epoch_loss,epoch_acc
[4],0.001,0,0.7928208559751511,0.4921875
[4],0.001,1,0.6839468032121658,0.6015625
[4],0.001,2,1.4986382350325584,0.53125
[4],0.001,3,1.9654591442085803,0.4609375
[4],0.001,4,0.8653436470776796,0.71875
[4],0.001,5,1.6461501810699701,0.59375
[4],0.001,6,1.2738358732312918,0.625
[4],0.001,7,2.8690041713416576,0.5859375
[4],0.001,8,1.6155304796993732,0.578125
[4],0.001,9,1.6067098621279001,0.59375
[4],0.001,10,2.3628621734678745,0.6328125
[4],0.001,11,2.4249366843141615,0.6484375
[4],0.001,12,1.5010215304791927,0.6484375
[4],0.001,13,2.7594628506340086,0.515625
[4],0.001,14,0.9889321550726891,0.6484375
[4],0.001,15,2.102617965079844,0.53125
[4],0.001,16,1.232654169201851,0.6875
[4],0.001,17,1.413174793124199,0.6015625
[4],0.001,18,2.854788728058338,0.65625
[4],0.001,19,2.2246500328183174,0.53125
[4],0.001,20,3.7324124595033936,0.5390625
[4],0.001,21,1.6392906121909618,0.578125
[4],0.001,22,2.208665132522583,0.4609375
[4],0.001,23,1.9985359460115433,0.625
[4],0.001,24,2.199515864253044,0.6328125
[4],0.001,25,2.222277283668518,0.640625
[4],0.001,26,2.461785351857543,0.6484375
[4],0.001,27,2.476263765245676,0.65625
[4],0.001,28,2.7178993113338947,0.6015625
[4],0.001,29,2.925007740035653,0.640625
[4],0.001,30,2.8698810525238514,0.6484375
[4],0.001,31,2.529374409466982,0.6171875
[4],0.001,32,2.9706759490072727,0.609375
[4],0.001,33,3.344652747735381,0.625
[4],0.001,34,3.162530768662691,0.6328125
[4],0.001,35,3.4196219351142645,0.6171875
[4],0.001,36,3.3178048757836223,0.6171875
[4],0.001,37,3.554352161474526,0.6171875
[4],0.001,38,3.3536698799580336,0.6171875
[4],0.001,39,3.6174680232070386,0.640625
[4],0.001,40,1.59269118309021,0.5390625
[4],0.001,41,1.5267301015555859,0.5390625
[4],0.001,42,1.442894671112299,0.6484375
[4],0.001,43,1.2041016891598701,0.609375
[4],0.001,44,2.0136347487568855,0.5390625
[4],0.001,45,1.3555058557540178,0.5546875
[4],0.001,46,1.8424976468086243,0.6171875
[4],0.001,47,1.9086613096296787,0.6484375
[4],0.001,48,2.51172886043787,0.6015625
[4],0.001,49,2.8968583289533854,0.5625
[4],0.001,50,1.2997790351510048,0.59375
[4],0.001,51,2.8277171961963177,0.6171875
[4],0.001,52,2.8055536299943924,0.515625
[4],0.001,53,1.6893465220928192,0.6484375
[4],0.001,54,2.1131674014031887,0.5625
[4],0.001,55,1.7423386350274086,0.625
[4],0.001,56,2.2516347393393517,0.6171875
[4],0.001,57,1.837634637951851,0.625
[4],0.001,58,3.386970001272857,0.59375
[4],0.001,59,1.8720190078020096,0.59375
