set,learning_rate,epoch,epoch_loss,epoch_acc
"[6, 7]",0.0001,0,0.5711373431341988,0.6785714285714286
"[6, 7]",0.0001,1,0.5458383134433201,0.7098214285714286
"[6, 7]",0.0001,2,0.591793784073421,0.71875
"[6, 7]",0.0001,3,0.7501797335488456,0.6785714285714286
"[6, 7]",0.0001,4,0.7137630581855774,0.7232142857142857
"[6, 7]",0.0001,5,0.8959904100213733,0.7321428571428571
"[6, 7]",0.0001,6,1.1057407685688563,0.6875
"[6, 7]",0.0001,7,0.9211119839123317,0.7321428571428571
"[6, 7]",0.0001,8,1.064649475472314,0.7366071428571429
"[6, 7]",0.0001,9,0.8668138214520046,0.7455357142857143
"[6, 7]",0.0001,10,0.8557870600904737,0.7410714285714286
"[6, 7]",0.0001,11,0.7872403476919446,0.7544642857142857
"[6, 7]",0.0001,12,0.7584753675120217,0.7544642857142857
"[6, 7]",0.0001,13,0.7867281607219151,0.7232142857142857
"[6, 7]",0.0001,14,0.6833108961582184,0.71875
"[6, 7]",0.0001,15,0.7805239345346179,0.7232142857142857
"[6, 7]",0.0001,16,0.7214612662792206,0.7321428571428571
"[6, 7]",0.0001,17,0.8081856412546975,0.7098214285714286
"[6, 7]",0.0001,18,0.972186952829361,0.6964285714285714
"[6, 7]",0.0001,19,1.1688238616500581,0.7053571428571429
"[6, 7]",0.0001,20,1.1406012773513794,0.7544642857142857
"[6, 7]",0.0001,21,1.1209651572363717,0.7366071428571429
"[6, 7]",0.0001,22,0.8925609546048301,0.7455357142857143
"[6, 7]",0.0001,23,0.9944045458521161,0.7366071428571429
"[6, 7]",0.0001,24,0.883261399609702,0.7276785714285714
"[6, 7]",0.0001,25,0.8363916746207646,0.7366071428571429
"[6, 7]",0.0001,26,0.8991279985223498,0.7455357142857143
"[6, 7]",0.0001,27,0.8277207442692348,0.7544642857142857
"[6, 7]",0.0001,28,0.9529141081230981,0.7321428571428571
"[6, 7]",0.0001,29,1.0066279023885727,0.7366071428571429
"[6, 7]",0.0001,30,1.025700386081423,0.7008928571428571
"[6, 7]",0.0001,31,0.9903353367533002,0.7008928571428571
"[6, 7]",0.0001,32,0.9955988100596836,0.7142857142857143
"[6, 7]",0.0001,33,0.9809356118951525,0.7321428571428571
"[6, 7]",0.0001,34,0.9735233954020909,0.7321428571428571
"[6, 7]",0.0001,35,1.007417551108769,0.7410714285714286
"[6, 7]",0.0001,36,0.9540576934814453,0.7321428571428571
"[6, 7]",0.0001,37,0.9644882253238133,0.7276785714285714
"[6, 7]",0.0001,38,0.9991009363106319,0.7366071428571429
"[6, 7]",0.0001,39,0.9981000976903098,0.7366071428571429
"[6, 7]",0.0001,40,0.9798606208392552,0.7455357142857143
"[6, 7]",0.0001,41,1.0465106623513358,0.7455357142857143
"[6, 7]",0.0001,42,1.1313231204237257,0.7321428571428571
"[6, 7]",0.0001,43,1.1147674598864146,0.7366071428571429
"[6, 7]",0.0001,44,1.072254723736218,0.7410714285714286
"[6, 7]",0.0001,45,1.0549548715353012,0.7410714285714286
"[6, 7]",0.0001,46,1.0909750419003623,0.7142857142857143
"[6, 7]",0.0001,47,1.0209642137799944,0.7366071428571429
"[6, 7]",0.0001,48,1.0378615983894892,0.7455357142857143
"[6, 7]",0.0001,49,1.039331010409764,0.7321428571428571
"[6, 7]",0.0001,50,1.0780271419457026,0.7276785714285714
"[6, 7]",0.0001,51,1.0477776399680547,0.75
"[6, 7]",0.0001,52,1.0818260993276323,0.7321428571428571
"[6, 7]",0.0001,53,1.1569350574697768,0.7276785714285714
"[6, 7]",0.0001,54,1.0721098354884557,0.7142857142857143
"[6, 7]",0.0001,55,1.106952769415719,0.7098214285714286
"[6, 7]",0.0001,56,1.104506709745952,0.7276785714285714
"[6, 7]",0.0001,57,1.011469534465245,0.7410714285714286
"[6, 7]",0.0001,58,1.0520285069942474,0.7544642857142857
"[6, 7]",0.0001,59,1.3788948373070784,0.7455357142857143
"[6, 7]",0.0001,60,1.301676590527807,0.7366071428571429
"[6, 7]",0.0001,61,1.2702190641845976,0.7410714285714286
"[6, 7]",0.0001,62,1.2252478556973594,0.7410714285714286
"[6, 7]",0.0001,63,1.2521879545279913,0.7366071428571429
"[6, 7]",0.0001,64,1.2017945370503835,0.75
"[6, 7]",0.0001,65,1.304104162114007,0.7544642857142857
"[6, 7]",0.0001,66,1.3822923004627228,0.71875
"[6, 7]",0.0001,67,1.6729846447706223,0.71875
"[6, 7]",0.0001,68,1.0752878274236406,0.7321428571428571
"[6, 7]",0.0001,69,1.819193375962121,0.6919642857142857
"[6, 7]",0.0001,70,0.8905754940850394,0.8169642857142857
"[6, 7]",0.0001,71,0.5916163453033992,0.8125
"[6, 7]",0.0001,72,0.7463277615606785,0.7678571428571429
"[6, 7]",0.0001,73,1.1068612784147263,0.7946428571428571
"[6, 7]",0.0001,74,1.1726010888814926,0.8214285714285714
"[6, 7]",0.0001,75,0.7097552503858294,0.8080357142857143
"[6, 7]",0.0001,76,0.5570527953760964,0.8080357142857143
"[6, 7]",0.0001,77,0.4917155078479222,0.8258928571428571
"[6, 7]",0.0001,78,0.5565527017627444,0.8080357142857143
"[6, 7]",0.0001,79,0.6638777745621545,0.8258928571428571
"[6, 7]",0.0001,80,0.8320018202066422,0.7991071428571429
"[6, 7]",0.0001,81,0.7750816494226456,0.8258928571428571
"[6, 7]",0.0001,82,0.8064603975840977,0.8303571428571429
"[6, 7]",0.0001,83,0.818971512573106,0.8125
"[6, 7]",0.0001,84,0.8348651272909982,0.8258928571428571
"[6, 7]",0.0001,85,0.8044013849326542,0.8214285714285714
"[6, 7]",0.0001,86,0.7957511416503361,0.8169642857142857
"[6, 7]",0.0001,87,0.8162850524697985,0.8169642857142857
"[6, 7]",0.0001,88,0.8567837647029332,0.8169642857142857
"[6, 7]",0.0001,89,0.8474717651094709,0.8125
"[6, 7]",0.0001,90,0.823236210005624,0.8125
"[6, 7]",0.0001,91,0.8119114594800132,0.8169642857142857
"[6, 7]",0.0001,92,0.9284950707639966,0.8080357142857143
"[6, 7]",0.0001,93,1.1822454908064433,0.7991071428571429
"[6, 7]",0.0001,94,0.7764274563108172,0.8080357142857143
"[6, 7]",0.0001,95,0.9051854674305234,0.7946428571428571
"[6, 7]",0.0001,96,0.905878056372915,0.8169642857142857
"[6, 7]",0.0001,97,0.8632209513868604,0.8125
"[6, 7]",0.0001,98,0.8563373344285148,0.8169642857142857
"[6, 7]",0.0001,99,0.8626357231821332,0.8214285714285714
"[6, 7]",0.0001,100,0.8118176886013576,0.8303571428571429
"[6, 7]",0.0001,101,0.8142148639474597,0.8258928571428571
"[6, 7]",0.0001,102,0.8832465708255768,0.8214285714285714
"[6, 7]",0.0001,103,0.862327482019152,0.8214285714285714
"[6, 7]",0.0001,104,0.829919342483793,0.8258928571428571
"[6, 7]",0.0001,105,0.8655977504593986,0.8258928571428571
"[6, 7]",0.0001,106,0.8220285602978298,0.8303571428571429
"[6, 7]",0.0001,107,0.8450618641717094,0.8214285714285714
"[6, 7]",0.0001,108,0.8620891698769161,0.8169642857142857
"[6, 7]",0.0001,109,0.8354177517550332,0.8214285714285714
"[6, 7]",0.0001,110,0.8465552755764553,0.8303571428571429
"[6, 7]",0.0001,111,0.855158371584756,0.8169642857142857
"[6, 7]",0.0001,112,0.8468872010707855,0.8303571428571429
"[6, 7]",0.0001,113,0.8550426193646022,0.8214285714285714
"[6, 7]",0.0001,114,0.8771771022251674,0.8258928571428571
"[6, 7]",0.0001,115,0.8580113266195569,0.8214285714285714
"[6, 7]",0.0001,116,0.8478205076285771,0.8258928571428571
"[6, 7]",0.0001,117,0.8608611013208117,0.8258928571428571
"[6, 7]",0.0001,118,0.9476046221596854,0.8214285714285714
"[6, 7]",0.0001,119,0.8751981982163021,0.8214285714285714
"[6, 7]",0.0001,120,0.8990715231214251,0.8214285714285714
"[6, 7]",0.0001,121,0.8910161341939654,0.8214285714285714
"[6, 7]",0.0001,122,0.9121583444731576,0.8214285714285714
"[6, 7]",0.0001,123,0.8842813755784716,0.8214285714285714
"[6, 7]",0.0001,124,0.8886918255261013,0.8125
"[6, 7]",0.0001,125,0.8935015669890812,0.8125
"[6, 7]",0.0001,126,0.9142350597040994,0.8214285714285714
"[6, 7]",0.0001,127,0.8711078975881849,0.8214285714285714
"[6, 7]",0.0001,128,0.8938602038792202,0.8258928571428571
"[6, 7]",0.0001,129,0.8765801574502673,0.8214285714285714
"[6, 7]",0.0001,130,0.8992915962423597,0.8303571428571429
"[6, 7]",0.0001,131,0.9036847395556313,0.8214285714285714
"[6, 7]",0.0001,132,0.8878694772720337,0.8303571428571429
"[6, 7]",0.0001,133,0.8995520089353833,0.8258928571428571
"[6, 7]",0.0001,134,0.8678408563137054,0.8303571428571429
"[6, 7]",0.0001,135,0.8554198103291648,0.8303571428571429
"[6, 7]",0.0001,136,0.8771395300115857,0.8303571428571429
"[6, 7]",0.0001,137,0.9025808615343911,0.8303571428571429
"[6, 7]",0.0001,138,0.904544540813991,0.8303571428571429
"[6, 7]",0.0001,139,0.9208516435963767,0.8303571428571429
"[6, 7]",0.0001,140,0.9063978493213654,0.8303571428571429
"[6, 7]",0.0001,141,0.9342948751790183,0.8348214285714286
"[6, 7]",0.0001,142,0.8890610550131116,0.8348214285714286
"[6, 7]",0.0001,143,0.8922584823199681,0.8303571428571429
"[6, 7]",0.0001,144,0.8876681157520839,0.8303571428571429
"[6, 7]",0.0001,145,0.9408640989235469,0.8258928571428571
"[6, 7]",0.0001,146,0.8785255168165479,0.8348214285714286
"[6, 7]",0.0001,147,0.8945257110255105,0.8348214285714286
"[6, 7]",0.0001,148,0.9429212936333248,0.8348214285714286
"[6, 7]",0.0001,149,0.9481373599597386,0.8303571428571429
"[6, 7]",0.0001,150,0.9516102927071708,0.8258928571428571
"[6, 7]",0.0001,151,0.8858006639139993,0.8348214285714286
"[6, 7]",0.0001,152,0.9040440491267613,0.8303571428571429
"[6, 7]",0.0001,153,0.9238143307822091,0.8303571428571429
"[6, 7]",0.0001,154,0.9335616954735347,0.8303571428571429
"[6, 7]",0.0001,155,0.9182994195393154,0.8303571428571429
"[6, 7]",0.0001,156,0.9383039942809513,0.8348214285714286
"[6, 7]",0.0001,157,0.9442146761076791,0.8303571428571429
"[6, 7]",0.0001,158,0.9188670090266636,0.8303571428571429
"[6, 7]",0.0001,159,0.9009899028709957,0.8303571428571429
"[6, 7]",0.0001,160,0.9651678119386945,0.8303571428571429
"[6, 7]",0.0001,161,0.9662790298461914,0.8303571428571429
"[6, 7]",0.0001,162,0.9766217299870082,0.8303571428571429
"[6, 7]",0.0001,163,0.94526036296572,0.8303571428571429
"[6, 7]",0.0001,164,0.9533932421888623,0.8303571428571429
"[6, 7]",0.0001,165,0.9320369958877563,0.8303571428571429
"[6, 7]",0.0001,166,0.9749215756143842,0.8348214285714286
"[6, 7]",0.0001,167,0.9649221513952527,0.8303571428571429
"[6, 7]",0.0001,168,0.9259293292249952,0.8303571428571429
"[6, 7]",0.0001,169,0.9474350554602486,0.8258928571428571
"[6, 7]",0.0001,170,0.9850531603608813,0.8348214285714286
"[6, 7]",0.0001,171,0.9929096230438778,0.8303571428571429
"[6, 7]",0.0001,172,0.9883414379187992,0.8303571428571429
"[6, 7]",0.0001,173,1.0165273674896784,0.8303571428571429
"[6, 7]",0.0001,174,1.0079976405416216,0.8303571428571429
"[6, 7]",0.0001,175,1.0032434208052499,0.8303571428571429
"[6, 7]",0.0001,176,0.9939464458397457,0.8303571428571429
"[6, 7]",0.0001,177,0.9992244924817767,0.8303571428571429
"[6, 7]",0.0001,178,0.9919548119817462,0.8303571428571429
"[6, 7]",0.0001,179,0.999296520437513,0.8303571428571429
"[6, 7]",0.0001,180,1.0320716436420168,0.8258928571428571
"[6, 7]",0.0001,181,0.948201767035893,0.8303571428571429
"[6, 7]",0.0001,182,1.0178311807768685,0.8303571428571429
"[6, 7]",0.0001,183,0.972498472247805,0.8348214285714286
"[6, 7]",0.0001,184,0.964087690625872,0.8258928571428571
"[6, 7]",0.0001,185,1.0224613547325134,0.8303571428571429
"[6, 7]",0.0001,186,1.0847003694091524,0.8303571428571429
"[6, 7]",0.0001,187,1.0985024252108164,0.8214285714285714
"[6, 7]",0.0001,188,1.0418281853199005,0.8258928571428571
"[6, 7]",0.0001,189,1.0680061323302132,0.8214285714285714
"[6, 7]",0.0001,190,1.053281505193029,0.8303571428571429
"[6, 7]",0.0001,191,1.0908188415425164,0.8258928571428571
"[6, 7]",0.0001,192,1.0914305278233118,0.8258928571428571
"[6, 7]",0.0001,193,1.165158857192312,0.8214285714285714
"[6, 7]",0.0001,194,1.1037170184510094,0.8214285714285714
"[6, 7]",0.0001,195,1.1846436325992857,0.8169642857142857
"[6, 7]",0.0001,196,1.0991010751043047,0.8035714285714286
"[6, 7]",0.0001,197,10.600645256893975,0.7633928571428571
"[6, 7]",0.0001,198,1.755718996482236,0.8125
"[6, 7]",0.0001,199,0.4682818523475102,0.8392857142857143
"[6, 7]",0.0001,200,0.47548200828688486,0.7991071428571429
"[6, 7]",0.0001,201,0.508620592632464,0.8482142857142857
"[6, 7]",0.0001,202,0.6579929696662086,0.7901785714285714
"[6, 7]",0.0001,203,0.5607237185218504,0.8214285714285714
"[6, 7]",0.0001,204,0.36857903003692627,0.8616071428571429
"[6, 7]",0.0001,205,0.43396950300250736,0.8705357142857143
"[6, 7]",0.0001,206,0.4976602409567152,0.8526785714285714
"[6, 7]",0.0001,207,0.510817962033408,0.8526785714285714
"[6, 7]",0.0001,208,0.5255272888711521,0.8526785714285714
"[6, 7]",0.0001,209,0.5199676086860043,0.8526785714285714
"[6, 7]",0.0001,210,0.5102199603404317,0.8348214285714286
"[6, 7]",0.0001,211,0.5665667892566749,0.8348214285714286
"[6, 7]",0.0001,212,0.5363220934356961,0.8169642857142857
"[6, 7]",0.0001,213,0.5278506917612893,0.8482142857142857
"[6, 7]",0.0001,214,0.5632983126810619,0.8482142857142857
"[6, 7]",0.0001,215,0.5642882819686618,0.8482142857142857
"[6, 7]",0.0001,216,0.5752269391502652,0.8482142857142857
"[6, 7]",0.0001,217,0.5483544277293342,0.8571428571428571
"[6, 7]",0.0001,218,0.5546213047845023,0.8482142857142857
"[6, 7]",0.0001,219,0.5841027562107358,0.8571428571428571
"[6, 7]",0.0001,220,0.5670024561030524,0.8482142857142857
"[6, 7]",0.0001,221,0.5766278675624302,0.8571428571428571
"[6, 7]",0.0001,222,0.5829105377197266,0.8482142857142857
"[6, 7]",0.0001,223,0.5682530147688729,0.8526785714285714
"[6, 7]",0.0001,224,0.6066800313336509,0.8482142857142857
"[6, 7]",0.0001,225,0.5790505281516484,0.8482142857142857
"[6, 7]",0.0001,226,0.5970096651996885,0.8571428571428571
"[6, 7]",0.0001,227,0.5980078535420554,0.8526785714285714
"[6, 7]",0.0001,228,0.6001415529421398,0.8571428571428571
"[6, 7]",0.0001,229,0.6232653175081525,0.8482142857142857
"[6, 7]",0.0001,230,0.6200677858931678,0.8571428571428571
"[6, 7]",0.0001,231,0.6177756020001003,0.8571428571428571
"[6, 7]",0.0001,232,0.618202384029116,0.8526785714285714
"[6, 7]",0.0001,233,0.5997504868677684,0.8526785714285714
"[6, 7]",0.0001,234,0.6475092385496412,0.8526785714285714
"[6, 7]",0.0001,235,0.6271022196326937,0.8526785714285714
"[6, 7]",0.0001,236,0.6644705682992935,0.8482142857142857
"[6, 7]",0.0001,237,0.6264110569443021,0.8571428571428571
"[6, 7]",0.0001,238,0.6600846818515232,0.84375
"[6, 7]",0.0001,239,0.6543878487178257,0.8482142857142857
"[6, 7]",0.0001,240,0.655610882810184,0.8482142857142857
"[6, 7]",0.0001,241,0.6192073204687664,0.8482142857142857
"[6, 7]",0.0001,242,0.6452195750815528,0.84375
"[6, 7]",0.0001,243,0.6512678137847355,0.8482142857142857
"[6, 7]",0.0001,244,0.6473006669964109,0.8482142857142857
"[6, 7]",0.0001,245,0.6453517909560885,0.8526785714285714
"[6, 7]",0.0001,246,0.6806063183716365,0.8526785714285714
"[6, 7]",0.0001,247,0.6965960668666022,0.8482142857142857
"[6, 7]",0.0001,248,0.6683264012847628,0.8571428571428571
"[6, 7]",0.0001,249,0.6752967004265104,0.8526785714285714
"[6, 7]",0.0001,250,0.6810981503554753,0.8482142857142857
"[6, 7]",0.0001,251,0.6842880163873944,0.8571428571428571
"[6, 7]",0.0001,252,0.6488636774676186,0.8571428571428571
"[6, 7]",0.0001,253,0.6771119471107211,0.8526785714285714
"[6, 7]",0.0001,254,0.6723758195127759,0.8526785714285714
"[6, 7]",0.0001,255,0.6686035799128669,0.8526785714285714
"[6, 7]",0.0001,256,0.6808624544313976,0.8482142857142857
"[6, 7]",0.0001,257,0.7095105456454414,0.84375
"[6, 7]",0.0001,258,0.6783319796834674,0.8571428571428571
"[6, 7]",0.0001,259,0.6435095625264304,0.8526785714285714
"[6, 7]",0.0001,260,0.6405330470630101,0.8482142857142857
"[6, 7]",0.0001,261,0.6346313442502703,0.8526785714285714
"[6, 7]",0.0001,262,0.647773951292038,0.8526785714285714
"[6, 7]",0.0001,263,0.6483915554625648,0.8526785714285714
"[6, 7]",0.0001,264,0.6622857621737889,0.8526785714285714
"[6, 7]",0.0001,265,0.6776939119611468,0.8571428571428571
"[6, 7]",0.0001,266,0.7061668740851539,0.8482142857142857
"[6, 7]",0.0001,267,0.658462256193161,0.8526785714285714
"[6, 7]",0.0001,268,0.689110809138843,0.8526785714285714
"[6, 7]",0.0001,269,0.6724853068590164,0.8526785714285714
"[6, 7]",0.0001,270,0.6948496933494296,0.8526785714285714
"[6, 7]",0.0001,271,0.6704608457429069,0.8526785714285714
"[6, 7]",0.0001,272,0.7141783216169902,0.8526785714285714
"[6, 7]",0.0001,273,0.7006138605730874,0.8571428571428571
"[6, 7]",0.0001,274,0.7247456801789147,0.8482142857142857
"[6, 7]",0.0001,275,0.6993128678628376,0.8571428571428571
"[6, 7]",0.0001,276,0.7307491323777607,0.8526785714285714
"[6, 7]",0.0001,277,0.6997588404587337,0.8482142857142857
"[6, 7]",0.0001,278,0.7066770281110492,0.8526785714285714
"[6, 7]",0.0001,279,0.6662902853318623,0.8571428571428571
"[6, 7]",0.0001,280,0.6947200128010341,0.8571428571428571
"[6, 7]",0.0001,281,0.6691411776202065,0.8571428571428571
"[6, 7]",0.0001,282,0.7111932188272476,0.8571428571428571
"[6, 7]",0.0001,283,0.7399508335760662,0.8526785714285714
"[6, 7]",0.0001,284,0.725320537175451,0.8526785714285714
"[6, 7]",0.0001,285,0.6962036916187831,0.8526785714285714
"[6, 7]",0.0001,286,0.709325162427766,0.8526785714285714
"[6, 7]",0.0001,287,0.7308150891746793,0.8526785714285714
"[6, 7]",0.0001,288,0.755905534539904,0.8526785714285714
"[6, 7]",0.0001,289,0.7107599952391216,0.8526785714285714
"[6, 7]",0.0001,290,0.7187346007142749,0.8526785714285714
"[6, 7]",0.0001,291,0.7120606601238251,0.8571428571428571
"[6, 7]",0.0001,292,0.7525756763560432,0.8526785714285714
"[6, 7]",0.0001,293,0.7282660475799015,0.8571428571428571
