set,learning_rate,epoch,epoch_loss,epoch_acc
"[6, 7]",1e-05,0,0.6809926288468497,0.5535714285714286
"[6, 7]",1e-05,1,0.6685643366404942,0.6071428571428571
"[6, 7]",1e-05,2,0.6445166724068778,0.6339285714285714
"[6, 7]",1e-05,3,0.6333627360207694,0.6428571428571429
"[6, 7]",1e-05,4,0.6172829866409302,0.6383928571428571
"[6, 7]",1e-05,5,0.6292704556669507,0.6517857142857143
"[6, 7]",1e-05,6,0.6213211332048688,0.6383928571428571
"[6, 7]",1e-05,7,0.6382408738136292,0.6294642857142857
"[6, 7]",1e-05,8,0.6333394391196114,0.6696428571428571
"[6, 7]",1e-05,9,0.6084516048431396,0.6919642857142857
"[6, 7]",1e-05,10,0.6280365117958614,0.6651785714285714
"[6, 7]",1e-05,11,0.6687364535672324,0.6696428571428571
"[6, 7]",1e-05,12,0.7080652117729187,0.65625
"[6, 7]",1e-05,13,0.7043369667870658,0.6607142857142857
"[6, 7]",1e-05,14,0.7050261071750096,0.6696428571428571
"[6, 7]",1e-05,15,0.6868353528635842,0.6919642857142857
"[6, 7]",1e-05,16,0.7105143623692649,0.6785714285714286
"[6, 7]",1e-05,17,0.6847370181764875,0.6875
"[6, 7]",1e-05,18,0.6980956196784973,0.6785714285714286
"[6, 7]",1e-05,19,0.7357246279716492,0.6785714285714286
"[6, 7]",1e-05,20,0.7403166123798915,0.6741071428571429
"[6, 7]",1e-05,21,0.734307953289577,0.6875
"[6, 7]",1e-05,22,0.7433880269527435,0.6830357142857143
"[6, 7]",1e-05,23,0.7638486496039799,0.6383928571428571
"[6, 7]",1e-05,24,0.768667825630733,0.6651785714285714
"[6, 7]",1e-05,25,0.7688738448279244,0.6651785714285714
"[6, 7]",1e-05,26,0.8245019316673279,0.6473214285714286
"[6, 7]",1e-05,27,0.7826504537037441,0.6696428571428571
"[6, 7]",1e-05,28,0.7816667301314217,0.6294642857142857
"[6, 7]",1e-05,29,0.7516646896089826,0.6919642857142857
"[6, 7]",1e-05,30,0.8213422894477844,0.6741071428571429
"[6, 7]",1e-05,31,0.8240094397749219,0.6696428571428571
"[6, 7]",1e-05,32,0.82293153660638,0.6830357142857143
"[6, 7]",1e-05,33,0.8175777878080096,0.6741071428571429
"[6, 7]",1e-05,34,0.8548525742122105,0.6964285714285714
"[6, 7]",1e-05,35,0.7673086949757167,0.7142857142857143
"[6, 7]",1e-05,36,0.8020685144833156,0.6830357142857143
"[6, 7]",1e-05,37,0.7536004185676575,0.7008928571428571
"[6, 7]",1e-05,38,0.7624763974121639,0.6875
"[6, 7]",1e-05,39,0.8058031627110073,0.7053571428571429
"[6, 7]",1e-05,40,0.8120162912777492,0.7008928571428571
"[6, 7]",1e-05,41,0.8508325219154358,0.6830357142857143
"[6, 7]",1e-05,42,0.8748020572321755,0.6741071428571429
"[6, 7]",1e-05,43,0.8060326320784432,0.6919642857142857
"[6, 7]",1e-05,44,0.8956889808177948,0.6785714285714286
"[6, 7]",1e-05,45,0.8557097698960986,0.6785714285714286
"[6, 7]",1e-05,46,0.8760705249650138,0.6830357142857143
"[6, 7]",1e-05,47,0.8771278219563621,0.6696428571428571
"[6, 7]",1e-05,48,0.9025408540453229,0.6473214285714286
"[6, 7]",1e-05,49,0.8421739765575954,0.6830357142857143
"[6, 7]",1e-05,50,0.8464033433369228,0.6830357142857143
"[6, 7]",1e-05,51,0.8475659447056907,0.6830357142857143
"[6, 7]",1e-05,52,0.9527097003800529,0.6830357142857143
"[6, 7]",1e-05,53,0.924877622297832,0.6919642857142857
"[6, 7]",1e-05,54,0.9432464752878461,0.7142857142857143
"[6, 7]",1e-05,55,0.8961568900517055,0.7053571428571429
"[6, 7]",1e-05,56,1.0208134821483068,0.6651785714285714
"[6, 7]",1e-05,57,1.0271446364266532,0.7142857142857143
"[6, 7]",1e-05,58,1.1005941799708776,0.6785714285714286
"[6, 7]",1e-05,59,0.9741898008755275,0.7008928571428571
"[6, 7]",1e-05,60,0.9706621936389378,0.6741071428571429
"[6, 7]",1e-05,61,0.9674560342516217,0.6919642857142857
"[6, 7]",1e-05,62,1.0330181206975664,0.6785714285714286
"[6, 7]",1e-05,63,0.9856709667614528,0.65625
"[6, 7]",1e-05,64,0.9628705041749137,0.6875
"[6, 7]",1e-05,65,0.9812159155096326,0.6919642857142857
"[6, 7]",1e-05,66,0.9413414938109261,0.6785714285714286
"[6, 7]",1e-05,67,0.9520464709826878,0.6830357142857143
"[6, 7]",1e-05,68,0.9519709348678589,0.6830357142857143
"[6, 7]",1e-05,69,0.89363351890019,0.7098214285714286
"[6, 7]",1e-05,70,0.923153451510838,0.7053571428571429
"[6, 7]",1e-05,71,0.9329833899225507,0.7008928571428571
"[6, 7]",1e-05,72,0.9701185013566699,0.6607142857142857
"[6, 7]",1e-05,73,0.8617440717560905,0.7142857142857143
"[6, 7]",1e-05,74,0.9267835489341191,0.7142857142857143
"[6, 7]",1e-05,75,0.9992389678955078,0.7410714285714286
"[6, 7]",1e-05,76,1.0013179438454765,0.7098214285714286
"[6, 7]",1e-05,77,0.9640603320939201,0.7098214285714286
"[6, 7]",1e-05,78,0.9537873268127441,0.6919642857142857
"[6, 7]",1e-05,79,0.9378089649336678,0.6875
"[6, 7]",1e-05,80,0.8886077148573739,0.7098214285714286
"[6, 7]",1e-05,81,0.9111387644495282,0.7142857142857143
"[6, 7]",1e-05,82,0.9109452451978411,0.7321428571428571
"[6, 7]",1e-05,83,0.8846592860562461,0.7455357142857143
"[6, 7]",1e-05,84,0.9932053003992353,0.7276785714285714
"[6, 7]",1e-05,85,1.0181482519422258,0.7053571428571429
"[6, 7]",1e-05,86,0.8991661838122776,0.7098214285714286
"[6, 7]",1e-05,87,1.1638682399477278,0.7142857142857143
"[6, 7]",1e-05,88,1.1397587060928345,0.6875
"[6, 7]",1e-05,89,1.012074453490121,0.6785714285714286
"[6, 7]",1e-05,90,0.9120687076023647,0.6875
"[6, 7]",1e-05,91,1.0992231369018555,0.6875
"[6, 7]",1e-05,92,1.065844910485404,0.6919642857142857
"[6, 7]",1e-05,93,0.9609192780085972,0.6919642857142857
"[6, 7]",1e-05,94,0.9600861668586731,0.6875
"[6, 7]",1e-05,95,0.9042493104934692,0.7008928571428571
"[6, 7]",1e-05,96,0.9456123794828143,0.6919642857142857
"[6, 7]",1e-05,97,0.9598463092531476,0.7008928571428571
"[6, 7]",1e-05,98,1.370761296578816,0.7366071428571429
"[6, 7]",1e-05,99,1.4040486429418837,0.7455357142857143
"[6, 7]",1e-05,100,1.1845677409853255,0.7053571428571429
"[6, 7]",1e-05,101,1.0491604464394706,0.6830357142857143
"[6, 7]",1e-05,102,0.9918586952345712,0.7276785714285714
