set,learning_rate,epoch,epoch_loss,epoch_acc
[8],5e-05,0,0.5603907778859138,0.65625
[8],5e-05,1,0.5121298357844353,0.734375
[8],5e-05,2,0.5543659776449203,0.75
[8],5e-05,3,0.5568255111575127,0.7734375
[8],5e-05,4,0.6021970212459564,0.7421875
[8],5e-05,5,0.6576596051454544,0.78125
[8],5e-05,6,0.6609902679920197,0.75
[8],5e-05,7,0.7190028578042984,0.734375
[8],5e-05,8,0.7188525944948196,0.7734375
[8],5e-05,9,0.7420099377632141,0.7421875
[8],5e-05,10,0.7643250375986099,0.7578125
[8],5e-05,11,0.7747955322265625,0.75
[8],5e-05,12,0.8419254422187805,0.7265625
[8],5e-05,13,0.8488471657037735,0.71875
[8],5e-05,14,0.6497278362512589,0.796875
[8],5e-05,15,0.6179359257221222,0.7890625
[8],5e-05,16,0.6912302821874619,0.7578125
[8],5e-05,17,0.6873907148838043,0.7734375
[8],5e-05,18,0.6908852756023407,0.7734375
[8],5e-05,19,0.8150283247232437,0.75
[8],5e-05,20,0.7395021617412567,0.796875
[8],5e-05,21,0.6514523774385452,0.796875
[8],5e-05,22,1.0819405615329742,0.8046875
[8],5e-05,23,1.1600095480680466,0.7578125
[8],5e-05,24,1.0317309871315956,0.8046875
[8],5e-05,25,0.8913009241223335,0.8203125
[8],5e-05,26,1.068256862461567,0.78125
[8],5e-05,27,0.680803656578064,0.7734375
[8],5e-05,28,0.6001069322228432,0.8125
[8],5e-05,29,0.5459136553108692,0.859375
[8],5e-05,30,0.6450677514076233,0.828125
[8],5e-05,31,0.7057968936860561,0.8046875
[8],5e-05,32,0.6396506987512112,0.8046875
[8],5e-05,33,0.7374752536416054,0.796875
[8],5e-05,34,0.7577577009797096,0.796875
[8],5e-05,35,0.692968413233757,0.828125
[8],5e-05,36,0.7812738567590714,0.8046875
[8],5e-05,37,0.7391020059585571,0.8046875
[8],5e-05,38,0.7165560871362686,0.8203125
[8],5e-05,39,0.6998920366168022,0.8125
[8],5e-05,40,0.683373861014843,0.8125
[8],5e-05,41,0.753565639257431,0.828125
[8],5e-05,42,0.7700696960091591,0.8046875
[8],5e-05,43,0.7872641235589981,0.8046875
[8],5e-05,44,0.8080514892935753,0.8125
[8],5e-05,45,0.7798098400235176,0.8203125
[8],5e-05,46,0.774460181593895,0.8203125
[8],5e-05,47,0.76494050770998,0.8359375
[8],5e-05,48,0.7385563179850578,0.796875
[8],5e-05,49,0.7029842287302017,0.8046875
[8],5e-05,50,0.7397044822573662,0.796875
[8],5e-05,51,0.6858696565032005,0.828125
[8],5e-05,52,0.7144516482949257,0.8125
[8],5e-05,53,0.7373288869857788,0.828125
[8],5e-05,54,0.6425995007157326,0.8203125
[8],5e-05,55,0.74614167958498,0.8203125
[8],5e-05,56,0.725935310125351,0.796875
[8],5e-05,57,0.7218494191765785,0.8046875
[8],5e-05,58,0.7855816781520844,0.8046875
[8],5e-05,59,0.7484239339828491,0.7890625
[8],5e-05,60,0.7596440315246582,0.8046875
[8],5e-05,61,0.7439187616109848,0.78125
[8],5e-05,62,0.7059416696429253,0.796875
[8],5e-05,63,0.7377028167247772,0.7734375
[8],5e-05,64,0.6648952215909958,0.7890625
[8],5e-05,65,0.6798980161547661,0.8046875
[8],5e-05,66,0.7065872848033905,0.7890625
[8],5e-05,67,0.7270221784710884,0.7890625
[8],5e-05,68,0.7351393699645996,0.8046875
[8],5e-05,69,0.6834689006209373,0.7734375
[8],5e-05,70,0.7200653254985809,0.7890625
[8],5e-05,71,0.7284868061542511,0.7890625
[8],5e-05,72,0.7245218604803085,0.7890625
[8],5e-05,73,0.753585048019886,0.78125
[8],5e-05,74,0.7729993015527725,0.7890625
[8],5e-05,75,0.7556184455752373,0.796875
[8],5e-05,76,0.769414596259594,0.78125
[8],5e-05,77,0.7421896308660507,0.78125
[8],5e-05,78,0.7657165601849556,0.8125
[8],5e-05,79,0.7842123955488205,0.8203125
[8],5e-05,80,0.6634515225887299,0.8125
[8],5e-05,81,0.6902587078511715,0.8046875
[8],5e-05,82,0.7225878089666367,0.8125
[8],5e-05,83,0.730280626565218,0.8046875
[8],5e-05,84,0.7015746608376503,0.796875
[8],5e-05,85,0.7041222751140594,0.8125
[8],5e-05,86,0.749427855014801,0.8046875
[8],5e-05,87,0.7371721789240837,0.828125
[8],5e-05,88,0.7431537434458733,0.796875
[8],5e-05,89,0.7355205938220024,0.78125
[8],5e-05,90,0.7508501410484314,0.8125
[8],5e-05,91,0.7469055950641632,0.8203125
[8],5e-05,92,0.7161902040243149,0.828125
[8],5e-05,93,0.7030195519328117,0.8125
[8],5e-05,94,1.2388713099062443,0.71875
[8],5e-05,95,0.7262427359819412,0.7734375
[8],5e-05,96,0.776767261326313,0.8125
[8],5e-05,97,0.9418710917234421,0.7734375
[8],5e-05,98,0.8585959523916245,0.8515625
[8],5e-05,99,0.6495738159865141,0.7578125
[8],5e-05,100,0.7085063010454178,0.796875
[8],5e-05,101,1.0232216492295265,0.765625
[8],5e-05,102,0.8358716666698456,0.765625
[8],5e-05,103,0.5520590767264366,0.8125
